Genre,Chords,First Chord,Most Popular Chords
Blues,"['Gm7', 'G']",G,
Blues,"['Dm7b5/C', 'Cmaj7', 'Gm7', 'F/C', 'Cmaj7']",D,
Blues,"['E7', 'A7', 'Em', 'Bm7b5/A']",E,
Blues,"['E7', 'Em7']",E,
Blues,"['Fm', 'Cm', 'Bb/F', 'Fm']",F,
Blues,"['Gm', 'G', 'Am7', 'G', 'Gm', 'G']",G,
Blues,"['F7', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F']",F,
Blues,"['Gm7b5/F', 'Bb', 'Fm7', 'Bb', 'Bbm7', 'Bb', 'Bbm7']",G,
Blues,"['Em7', 'E7']",E,
Blues,"['Fm6', 'Bb/F', 'Fm', 'Fm7', 'Fm']",F,
Blues,"['A7', 'A/E', 'E', 'C#m7b5/B', 'A/E', 'Em', 'Em7b5']",A,
Blues,"['Bm', 'B', 'Bm', 'B', 'Bdim', 'Bm', 'B']",B,
Blues,"['Bb', 'Bbm7b5', 'Bb7', 'Bbdim', 'Bb', 'Bbm7', 'Bb']",B,
Blues,"['Bm', 'B', 'Bdim', 'Bm']",B,
Blues,"['Bm', 'Emaj7', 'Bm', 'E/F#']",B,
Blues,"['F#m7', 'Am', 'C6', 'A']",F,
Blues,"['D7/F#', 'A', 'Emaj7', 'A', 'E', 'F#m7b5', 'A7', 'D7/F#', 'A7/C#', 'F#m7b5/E', 'A', 'E7']",D,
Blues,"['B', 'F#7', 'E/B', 'G', 'Bm', 'F#7', 'Bm7b5', 'B7', 'Bm7b5', 'E']",B,
Blues,['E'],E,
Blues,"['F#m6', 'C#/B', 'B', 'C#', 'F#m', 'B7', 'F#m6', 'B6', 'F#m6']",F,
Blues,"['F6', 'C6', 'Bb7', 'F', 'F7', 'Fm6', 'Eb/Bb']",F,
Blues,"['A', 'Dm7', 'A', 'Am7']",A,
Blues,"['Emaj7', 'Bmaj7', 'Bb']",E,
Blues,"['Bb', 'Edim', 'Bb']",B,
Blues,"['Bb', 'Bdim', 'C#m7b5/B', 'Bmaj7', 'Bb', 'F7', 'Bdim', 'Bb', 'C#/B', 'Bmaj7']",B,
Blues,"['E', 'Bm', 'Em7', 'E', 'Em', 'Bbmaj7']",E,
Blues,"['Cmaj7', 'Bb']",C,
Blues,"['Cm', 'Fm', 'Abm6', 'Gm7', 'Fm7', 'Gm7', 'Fm', 'Cm', 'Fm', 'Cm7']",C,
Blues,"['A', 'Cmaj7', 'D', 'G', 'A7', 'D6', 'Gmaj7', 'D']",A,
Blues,"['Cm7', 'F/C', 'Cm', 'C7', 'Cm7b5', 'F', 'Cm', 'Bb']",C,
Blues,"['F', 'G7', 'Bbmaj7', 'C7', 'F', 'Bbmaj7', 'Fmaj7', 'Gm7b5/F', 'Dm7', 'Fmaj7', 'Bb', 'F']",F,
