Genre,Chords,First Chord,Most Popular Chords
Blues,"['Gm7', 'G']",G,Gm7
Blues,"['Dm7b5/C', 'Cmaj7', 'Gm7', 'F/C', 'Cmaj7']",D,"['Dm7b5/C', 'Cmaj7', 'Gm7']"
Blues,"['E7', 'A7', 'Em', 'Bm7b5/A']",E,"['E7', 'A7', 'Em']"
Blues,"['E7', 'Em7']",E,E7
Blues,"['Fm', 'Cm', 'Bb/F', 'Fm']",F,"['Fm', 'Cm', 'Bb/F']"
Blues,"['Gm', 'G', 'Am7', 'G', 'Gm', 'G']",G,"['Gm', 'G', 'Am7']"
Blues,"['F7', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F']",F,"['F7', 'Bb', 'F']"
Blues,"['Gm7b5/F', 'Bb', 'Fm7', 'Bb', 'Bbm7', 'Bb', 'Bbm7']",G,"['Gm7b5/F', 'Bb', 'Fm7']"
Blues,"['Em7', 'E7']",E,Em7
Blues,"['G7', 'Abmaj7', 'G', 'C#maj7', 'G', 'Gm6']",G,"['G7', 'Abmaj7', 'G']"
Blues,"['Fm6', 'Bb/F', 'Fm', 'Fm7', 'Fm']",F,"['Fm6', 'Bb/F', 'Fm']"
Blues,"['A7', 'A/E', 'E', 'C#m7b5/B', 'A/E', 'Em', 'Em7b5']",A,"['A7', 'A/E', 'E']"
Blues,"['Bm', 'B', 'Bm', 'B', 'Bdim', 'Bm', 'B']",B,"['Bm', 'B', 'Bdim']"
Blues,"['Bb', 'Bbm7b5', 'Bb7', 'Bbdim', 'Bb', 'Bbm7', 'Bb']",B,"['Bb', 'Bbm7b5', 'Bb7']"
Blues,"['Bm', 'B', 'Bdim', 'Bm']",B,"['Bm', 'B', 'Bdim']"
Blues,"['Bm', 'Emaj7', 'Bm', 'E/F#']",B,"['Bm', 'Emaj7', 'E/F#']"
Blues,"['F#m7', 'Am', 'C6', 'A']",F,"['F#m7', 'Am', 'C6']"
Blues,"['D7/F#', 'A', 'Emaj7', 'A', 'E', 'F#m7b5', 'A7', 'D7/F#', 'A7/C#', 'F#m7b5/E', 'A', 'E7']",D,"['D7/F#', 'A', 'Emaj7']"
Blues,"['B', 'F#7', 'E/B', 'G', 'Bm', 'F#7', 'Bm7b5', 'B7', 'Bm7b5', 'E']",B,"['B', 'F#7', 'E/B']"
Blues,"['A', 'C#m7', 'Am', 'C#m7', 'A']",A,"['A', 'C#m7', 'Am']"
Blues,['E'],E,E
Blues,"['F#m6', 'C#/B', 'B', 'C#', 'F#m', 'B7', 'F#m6', 'B6', 'F#m6']",F,"['F#m6', 'C#/B', 'B']"
Blues,"['F6', 'C6', 'Bb7', 'F', 'F7', 'Fm6', 'Eb/Bb']",F,"['F6', 'C6', 'Bb7']"
Blues,"['A', 'Dm7', 'A', 'Am7']",A,"['A', 'Dm7', 'Am7']"
Blues,"['Emaj7', 'Bmaj7', 'Bb']",E,"['Emaj7', 'Bmaj7', 'Bb']"
Blues,"['Bb', 'Edim', 'Bb']",B,"['Bb', 'Edim']"
Blues,"['Bb', 'Bdim', 'C#m7b5/B', 'Bmaj7', 'Bb', 'F7', 'Bdim', 'Bb', 'C#/B', 'Bmaj7']",B,"['Bb', 'Bdim', 'C#m7b5/B']"
Blues,"['E', 'Bm', 'Em7', 'E', 'Em', 'Bbmaj7']",E,"['E', 'Bm', 'Em7']"
Blues,"['Cmaj7', 'Bb']",C,Cmaj7
Blues,"['Dm', 'D7', 'Dm', 'G', 'F6', 'D', 'Cm', 'D7']",D,"['Dm', 'D7', 'G']"
Blues,"['Cm', 'Fm', 'Abm6', 'Gm7', 'Fm7', 'Gm7', 'Fm', 'Cm', 'Fm', 'Cm7']",C,"['Cm', 'Fm', 'Abm6']"
Blues,"['A', 'Cmaj7', 'D', 'G', 'A7', 'D6', 'Gmaj7', 'D']",A,"['A', 'Cmaj7', 'D']"
Blues,"['Cm7', 'F/C', 'Cm', 'C7', 'Cm7b5', 'F', 'Cm', 'Bb']",C,"['Cm7', 'F/C', 'Cm']"
Blues,"['F', 'G7', 'Bbmaj7', 'C7', 'F', 'Bbmaj7', 'Fmaj7', 'Gm7b5/F', 'Dm7', 'Fmaj7', 'Bb', 'F']",F,"['F', 'G7', 'Bbmaj7']"
Blues,"['D7', 'Ddim', 'Dm', 'Fm6', 'D', 'Dm7b5', 'G7', 'D', 'Dm7']",D,"['D7', 'Ddim', 'Dm']"
Blues,"['Eb', 'Gm7', 'Cm7', 'Gm7', 'F', 'Gm7', 'Bb7/D', 'Eb', 'Gm7']",E,"['Eb', 'Gm7', 'Cm7']"
Blues,"['Fm', 'Bb/F', 'Ab', 'Bb7', 'F', 'Bb', 'F', 'Bb', 'F']",F,"['Fm', 'Bb/F', 'Ab']"
Blues,"['Fm', 'Cm', 'Bb/F', 'Fm']",F,"['Fm', 'Cm', 'Bb/F']"
Blues,"['Ab/Gb', 'Gm7b5', 'Bb', 'Eb', 'Ebm', 'C7', 'Ebm', 'Eb', 'Ab7', 'Ebm', 'Ab7']",A,"['Ab/Gb', 'Gm7b5', 'Bb']"
Blues,"['Fm', 'Bb', 'F', 'C', 'F/A', 'Gm6', 'Cm7b5/Bb', 'F', 'Bbmaj7', 'Dm']",F,"['Fm', 'Bb', 'F']"
Blues,"['C#', 'Eb7', 'C#', 'Eb7/G', 'Ab6', 'C#6', 'Ab6', 'Eb7', 'Ab', 'Abdim']",C,"['C#', 'Eb7', 'Eb7/G']"
Blues,"['Eb/Bb', 'Ab7', 'Eb', 'Bbm7', 'Ab7', 'Eb']",E,"['Eb/Bb', 'Ab7', 'Eb']"
Blues,"['B7', 'F#6', 'B', 'C#maj7', 'F#m7', 'C#', 'E/B', 'C#/D#', 'F#m7b5/E', 'F#']",B,"['B7', 'F#6', 'B']"
Blues,"['B6', 'E6', 'B6', 'F#7', 'Emaj7', 'F#maj7', 'B6']",B,"['B6', 'E6', 'F#7']"
Blues,"['Ebm7', 'Abmaj7', 'Ebm7', 'Ab', 'Eb7']",E,"['Ebm7', 'Abmaj7', 'Ab']"
Blues,"['Eb6', 'Bb7/D', 'C#6', 'Ab', 'Ebm7', 'Bb7', 'Ebm', 'F#', 'Ebm6']",E,"['Eb6', 'Bb7/D', 'C#6']"
Blues,"['Eb7', 'Ab7', 'Eb7', 'Bb7', 'Ab7', 'Ebm7', 'Ab7', 'Eb7', 'Bb7/D']",E,"['Eb7', 'Ab7', 'Bb7']"
Blues,"['Eb7', 'Ab6', 'Eb7', 'Bb7', 'Ab7', 'Eb7', 'Bb', 'Eb7', 'Eb6']",E,"['Eb7', 'Ab6', 'Bb7']"
