Genre,Chords,First Chord,Most Popular Chords
Classical,"['D/E', 'C#m', 'Bm7', 'E6', 'D6', 'B', 'E7/G#', 'F#m7', 'D', 'Bm7', 'Em7', 'Dmaj7', 'Bm7', 'G6', 'D']",D,"['D/E', 'C#m', 'Bm7']"
Classical,"['Em7', 'Bm', 'Em', 'Bm', 'F#m', 'Gmaj7', 'Em', 'F#7', 'Bm', 'G', 'A7', 'Bb', 'Abdim', 'A7', 'D']",E,"['Em7', 'Bm', 'Em']"
Classical,"['F#m7', 'D', 'E7', 'A', 'D', 'E6', 'F#m7', 'Bm', 'E', 'A', 'D6', 'C#m7', 'E/D', 'A', 'Gmaj7', 'Em']",F,"['F#m7', 'D', 'E7']"
Classical,"['F/A', 'Am', 'G/B', 'Cmaj7', 'C', 'Dm', 'G', 'C', 'Bb', 'Adim', 'Cm6', 'D', 'Eb', 'D7/F#', 'Gm']",F,"['F/A', 'Am', 'G/B']"
Classical,"['F/G', 'D7/F#', 'G6', 'Am7', 'G', 'Fmaj7', 'E7/G#', 'Am', 'E7', 'Am', 'D7/F#', 'Gm', 'C7', 'F', 'C7', 'F']",F,"['F/G', 'D7/F#', 'G6']"
Classical,"['C7', 'Fm', 'Bb7', 'Eb', 'Ab6', 'Bb6', 'Cm', 'Dm', 'Dm7b5', 'Eb', 'Fdim', 'Cm', 'F7/A', 'Eb', 'Cm6', 'Cm7', 'Abmaj7', 'Eb', 'Abmaj7']",C,"['C7', 'Fm', 'Bb7']"
Classical,"['G7', 'Cm', 'Em6', 'Fm', 'G', 'Ab7', 'F', 'G7/B', 'C#/E#', 'Cm', 'Dm7b5', 'Fm', 'Ab', 'G7', 'Fm7', 'G7', 'Abmaj7', 'Fm', 'C7', 'Dm7b5', 'Cm']",G,"['G7', 'Cm', 'Em6']"
Classical,"['Bb7', 'Ebmaj7', 'Fm6', 'Gm7', 'Fm', 'Am7b5', 'Eb', 'Bb7', 'Dm7b5', 'Ab/Eb', 'Eb', 'Gm7']",B,"['Bb7', 'Ebmaj7', 'Fm6']"
Classical,"['C6', 'C7', 'F', 'Gm7', 'F', 'Abmaj7', 'G/B', 'Cm', 'F', 'Bbmaj7', 'Ab/Eb', 'Bb/F', 'D7/F#', 'Gm', 'F', 'Bb']",C,"['C6', 'C7', 'F']"
Classical,"['Fm', 'Eb', 'Fm6', 'Cm', 'Adim', 'C7/E', 'F#m7b5', 'Gm', 'Cm7', 'Ab/C', 'G/D', 'D7', 'Gm', 'D', 'Cdim', 'Gm', 'C6', 'Gm']",F,"['Fm', 'Eb', 'Fm6']"
Classical,"['C7', 'F7', 'Bb7', 'Eb', 'Bb', 'F7', 'Bb', 'F7', 'Bb', 'Cm', 'Bb', 'F7/A', 'Bb', 'F', 'C7', 'Bb', 'Gm']",C,"['C7', 'F7', 'Bb7']"
Classical,"['C', 'Cm', 'D7', 'G7', 'C7', 'Fm', 'C#maj7', 'Bdim']",C,"['C', 'Cm', 'D7']"
Classical,"['F', 'Bb', 'Gm', 'C7/E', 'F', 'C', 'Dm', 'G7', 'C']",F,"['F', 'Bb', 'Gm']"
Classical,"['C', 'G', 'D', 'G', 'D', 'G', 'Am', 'G', 'A7', 'Dm', 'G7', 'C', 'F', 'C', 'G', 'Cmaj7', 'E', 'Dm']",C,"['C', 'G', 'D']"
Classical,"['C', 'D7', 'G', 'D', 'G', 'D', 'G', 'D7', 'G', 'C/G', 'Am', 'G', 'C/G', 'G6', 'Am', 'Gmaj7']",C,"['C', 'D7', 'G']"
Classical,"['B', 'Em', 'Em7b5/D', 'A7', 'F#m7b5', 'B7', 'Em', 'Adim', 'Em', 'Adim', 'Em', 'Gdim', 'F#7/A#']",B,"['B', 'Em', 'Em7b5/D']"
Classical,"['Gmaj7', 'D', 'G', 'D6', 'G/D', 'D7', 'G', 'D7', 'G', 'G6', 'Am7', 'D7', 'G', 'Am', 'D', 'G']",G,"['Gmaj7', 'D', 'G']"
Classical,"['F', 'Am', 'Dm7', 'Adim', 'Am', 'A', 'Bm', 'E', 'A']",F,"['F', 'Am', 'Dm7']"
Classical,"['Gdim', 'Fm', 'F7/A', 'Bb', 'Edim', 'Bb7']",G,"['Gdim', 'Fm', 'F7/A']"
Classical,"['Eb', 'Ab', 'C#', 'Ab', 'Gm', 'Eb', 'Fm7', 'Abmaj7', 'Fm7', 'Gm7b5', 'Fm7', 'Eb', 'Abmaj7']",E,"['Eb', 'Ab', 'C#']"
Classical,"['Eb', 'Bb7/D', 'Fm', 'Bb7/D', 'Ebmaj7', 'Bb', 'Fm', 'Bb7', 'Eb', 'Ab', 'Bb']",E,"['Eb', 'Bb7/D', 'Fm']"
Classical,"['Bb', 'Gm6', 'F', 'Bb', 'Cm7', 'Dm7', 'Bbm', 'B', 'Bm', 'C#7', 'F#', 'C#7', 'F#m', 'Cdim', 'B7', 'Ebm', 'F7/A', 'Bb']",B,"['Bb', 'Gm6', 'F']"
Classical,"['F7', 'Bb', 'F', 'Eb', 'Bb', 'Eb6', 'Bb', 'C7', 'F', 'Dm', 'F7', 'Bb', 'Ebmaj7', 'Fmaj7', 'Cm', 'Bbmaj7']",F,"['F7', 'Bb', 'F']"
Classical,"['Bb', 'Eb', 'F7', 'Fm7b5/Eb', 'Bb7/D', 'Eb', 'Baug', 'Ab', 'Ebm7b5/Db', 'Eb', 'Bb7/D', 'Gm7']",B,"['Bb', 'Eb', 'F7']"
Classical,"['Gm6', 'A7', 'Dm', 'Bb', 'Gm', 'Eb', 'Fm7', 'Baug', 'D7', 'Cm', 'Gdim', 'D', 'Gm', 'Cm', 'D', 'Gm', 'Cm7', 'D/F#', 'Gm', 'Am7b5/G']",G,"['Gm6', 'A7', 'Dm']"
Classical,"['Cm', 'D', 'Gm', 'Cm', 'F', 'Bb/D', 'Eb', 'F', 'Bb', 'Gm', 'Cm', 'Dm7', 'Bb6', 'Eb', 'G/D', 'Cm']",C,"['Cm', 'D', 'Gm']"
Classical,"['C', 'G', 'C', 'G', 'Gm6', 'Cm6', 'Abdim', 'Gm7b5', 'F', 'Em', 'Dm', 'Gaug']",C,"['C', 'G', 'Gm6']"
Classical,"['C#m6', 'Dm', 'Bb', 'F/C', 'C7', 'A', 'Dm', 'Bb6', 'F/C', 'C7/E']",C,"['C#m6', 'Dm', 'Bb']"
Classical,"['D', 'G', 'C6', 'D7', 'G', 'C/G', 'G7', 'Cm', 'G7', 'C/G', 'G', 'C', 'G', 'C', 'F/C', 'D', 'G']",D,"['D', 'G', 'C6']"
Classical,"['G', 'Bb6', 'D7/F#', 'C/D', 'Dm', 'G7', 'Am', 'Bm7b5/A', 'C6', 'Dm', 'C', 'D7', 'G', 'Em', 'D']",G,"['G', 'Bb6', 'D7/F#']"
Classical,"['Gm7', 'Eb', 'Fm7', 'Gm7', 'C', 'Fmaj7', 'Eb', 'Abdim', 'Abm']",G,"['Gm7', 'Eb', 'Fm7']"
Classical,"['Fm', 'C/G', 'Fm', 'E7/G#', 'Gm', 'Dm7b5', 'Gm7', 'Ebm']",F,"['Fm', 'C/G', 'E7/G#']"
Classical,"['F#m', 'C#6', 'F#/C#', 'A/C#', 'F#/C#', 'C#', 'Ebm7b5/Db', 'C#7']",F,"['F#m', 'C#6', 'F#/C#']"
Classical,"['A7', 'Fm', 'Abaug', 'C#maj7', 'Fm7b5/Eb', 'Dmaj7', 'C7']",A,"['A7', 'Fm', 'Abaug']"
Classical,"['Gm7', 'C7', 'F', 'Bbmaj7', 'C7', 'Dm6', 'G7', 'C', 'F/C']",G,"['Gm7', 'C7', 'F']"
Classical,"['C#m', 'F#7', 'Abm7b5/Gb', 'Abm7', 'C#7', 'Am', 'Dm7', 'E7/G#']",C,"['C#m', 'F#7', 'Abm7b5/Gb']"
