Genre,Chords,First Chord,Most Popular Chords
Country,"['F#m6', 'D6', 'E6', 'D6', 'F#', 'B6', 'Ebm', 'Abm7', 'F#', 'B6']",F,"['F#m6', 'D6', 'E6']"
Country,"['B', 'F#', 'E', 'F#', 'E6', 'F#', 'E', 'F#', 'Emaj7', 'F#']",B,"['B', 'F#', 'E']"
Country,"['A', 'D', 'A', 'E', 'A', 'B7', 'A', 'D', 'Amaj7', 'B6']",A,"['A', 'D', 'E']"
Country,"['C', 'G', 'Am', 'D', 'C', 'G', 'D6', 'Am7', 'D', 'C', 'G']",C,"['C', 'G', 'Am']"
Country,"['E', 'B', 'Amaj7', 'E/G#', 'F#m7', 'B', 'E', 'F#m7', 'B/F#', 'E', 'A', 'E/G#']",E,"['E', 'B', 'Amaj7']"
Country,"['G', 'C6', 'G6', 'C', 'G6', 'F', 'C', 'D6', 'Em7', 'Cmaj7']",G,"['G', 'C6', 'G6']"
Country,"['Eb', 'Bb/F', 'Eb6', 'Gm', 'F', 'Eb', 'F6', 'Bb', 'Fm', 'Eb6', 'Bb/F', 'Eb', 'F', 'Bb']",E,"['Eb', 'Bb/F', 'Eb6']"
Country,"['Bbm7', 'C#', 'Eb7', 'Ab', 'C#/G#', 'Ab', 'Cm', 'Fm', 'C#', 'Eb', 'Fm', 'C#', 'Ab', 'C#', 'Eb6', 'Ab']",B,"['Bbm7', 'C#', 'Eb7']"
Country,"['E', 'A', 'E/B', 'B7', 'E', 'A', 'C#m7b5/B', 'B6', 'E']",E,"['E', 'A', 'E/B']"
Country,"['G7', 'C', 'Gm', 'F6', 'G', 'C', 'G', 'Bbm6', 'A7', 'G']",G,"['G7', 'C', 'Gm']"
Country,"['G7', 'C', 'Em7b5/D', 'F', 'C6', 'C', 'G7', 'G6', 'C', 'F']",G,"['G7', 'C', 'Em7b5/D']"
Country,"['D6', 'G', 'D', 'E/B', 'Dm', 'D', 'G']",D,"['D6', 'G', 'D']"
Country,"['C/D', 'F', 'C', 'G7', 'C', 'F', 'C', 'G', 'C', 'F', 'C', 'G7']",C,"['C/D', 'F', 'C']"
Country,"['A6', 'E6', 'A', 'D/A', 'A6', 'E6', 'A6', 'D/A', 'A6']",A,"['A6', 'E6', 'A']"
Country,"['D', 'Amaj7', 'E6', 'A6', 'D', 'A', 'Ebm7b5/Db', 'C#m7', 'Dmaj7', 'Gmaj7', 'E', 'A', 'D']",D,"['D', 'Amaj7', 'E6']"
Country,"['Ab', 'Eb', 'C#6', 'Ab6', 'Gm7b5/F', 'Ab', 'Abm', 'C#/E#', 'Ab', 'Eb', 'C#6', 'Ab/Eb']",A,"['Ab', 'Eb', 'C#6']"
