Genre,Chords,First Chord,Most Popular Chords
Disco,"['Bm7', 'A6', 'Em7', 'A6', 'Bm7', 'A6', 'Em7']",B,"['Bm7', 'A6', 'Em7']"
Disco,"['Fmaj7', 'Bdim', 'F#m7b5/E', 'Emaj7', 'Am', 'Dm7', 'G', 'Cmaj7', 'Fmaj7', 'Bm7b5', 'E', 'Am', 'Dm7', 'G']",F,"['Fmaj7', 'Bdim', 'F#m7b5/E']"
Disco,"['Dmaj7', 'Em7', 'F#m7b5', 'Gmaj7', 'F#m7', 'Gmaj7', 'F#m7', 'Gmaj7', 'Dmaj7', 'Fmaj7', 'Am7', 'Dm']",D,"['Dmaj7', 'Em7', 'F#m7b5']"
Disco,"['Cm6', 'F7', 'Cm7', 'F', 'Cm7', 'F/G', 'Cm7']",C,"['Cm6', 'F7', 'Cm7']"
Disco,"['E', 'A', 'E', 'A', 'B', 'C#m', 'B', 'A', 'E', 'B7']",E,"['E', 'A', 'B']"
Disco,"['Am', 'Dm7', 'G/D', 'Am7', 'Dm7', 'Am7', 'Dm7', 'Em7', 'A7']",A,"['Am', 'Dm7', 'G/D']"
Disco,"['C#m7', 'F#6', 'Ab', 'C#m7', 'F#m', 'Ab', 'C#m7']",C,"['C#m7', 'F#6', 'Ab']"
Disco,"['A', 'B7/D#', 'Dm', 'A', 'B/A', 'Dm', 'C#7']",A,"['A', 'B7/D#', 'Dm']"
Disco,"['Abm7', 'F#/A#', 'C#', 'Abm7', 'C#', 'Ebm7', 'Abm7']",A,"['Abm7', 'F#/A#', 'C#']"
Disco,"['Cm7', 'Bb/F', 'Cm7']",C,"['Cm7', 'Bb/F']"
Disco,"['C#6', 'Ebm', 'C#6', 'Ebm7', 'Bbm7', 'F#maj7']",C,"['C#6', 'Ebm', 'Ebm7']"
Disco,"['Am7', 'Cmaj7', 'D']",A,"['Am7', 'Cmaj7', 'D']"
Disco,"['Am7', 'D7', 'Am7', 'D7', 'F', 'Cmaj7', 'Am7']",A,"['Am7', 'D7', 'F']"
Disco,"['E7', 'A6', 'Em7', 'A7', 'G7/B', 'E7']",E,"['E7', 'A6', 'Em7']"
Disco,"['Fm7', 'Bb7', 'Fm7', 'Bb', 'Eb', 'Fm7', 'Bb']",F,"['Fm7', 'Bb7', 'Bb']"
Disco,"['Fmaj7', 'D6', 'Am7', 'Em7', 'D6', 'Em7', 'D6', 'Em7', 'Am7', 'G6']",F,"['Fmaj7', 'D6', 'Am7']"
Disco,"['A/C#', 'Bm7', 'A/C#', 'Bm7', 'A6', 'Bm7', 'A/C#', 'Bm7', 'Emaj7', 'A/C#', 'Bm7', 'A/C#', 'Bm7']",A,"['A/C#', 'Bm7', 'A6']"
Disco,"['Ebmaj7', 'Cm7', 'Bb', 'Cm7', 'Gm7', 'Cm', 'Bb', 'Cm', 'Bb']",E,"['Ebmaj7', 'Cm7', 'Bb']"
Disco,"['E6', 'B6', 'C#m7']",E,"['E6', 'B6', 'C#m7']"
Disco,"['Eb', 'Bbmaj7', 'Eb', 'Cm7', 'F', 'Bb', 'Ebmaj7', 'Bbmaj7', 'Eb', 'Bb', 'Ebmaj7']",E,"['Eb', 'Bbmaj7', 'Cm7']"
Disco,"['E6', 'B', 'D6', 'E', 'B', 'D6', 'E', 'B', 'Ebm', 'Adim', 'A6', 'E', 'Ab', 'C#m']",E,"['E6', 'B', 'D6']"
Disco,"['C', 'Cm7', 'D7/F#', 'C#maj7', 'C', 'F6', 'Gm']",C,"['C', 'Cm7', 'D7/F#']"
Disco,"['Bm', 'Em7', 'Bm7', 'E7', 'Bm7', 'Em7', 'Bm7', 'Em7']",B,"['Bm', 'Em7', 'Bm7']"
Disco,"['Cm7', 'Fm7', 'Bbm7', 'G7/B', 'Cm7', 'Fm7', 'Gm7', 'Abmaj7', 'Bb6', 'Abmaj7', 'Bb', 'Abmaj7', 'Bb6']",C,"['Cm7', 'Fm7', 'Bbm7']"
Disco,"['Ebm', 'C#', 'F#', 'C#', 'Abm', 'B', 'C#', 'F#', 'C#', 'Abm']",E,"['Ebm', 'C#', 'F#']"
Disco,"['Fm', 'Bbm', 'Fm', 'Bbm', 'C#', 'C7', 'C#maj7', 'F6']",F,"['Fm', 'Bbm', 'C#']"
