Genre,Chords,First Chord,Most Popular Chords
Jazz,"['Bm', 'F6', 'Cm', 'C/G', 'E', 'C7/E', 'F', 'Eaug', 'Cm']",B,"['Bm', 'F6', 'Cm']"
Jazz,"['Dm7b5/C', 'F#m6', 'C6', 'Abmaj7', 'Dm7', 'Dm6', 'F#maj7']",D,"['Dm7b5/C', 'F#m6', 'C6']"
Jazz,"['Ebm7', 'Bb6', 'Bm7', 'E6', 'Bbm7', 'Cm', 'Abm7', 'C#7', 'Dm', 'B', 'Ebm', 'Bb', 'F#m', 'Bm7b5', 'Bb', 'E7', 'Ebm']",E,"['Ebm7', 'Bb6', 'Bm7']"
Jazz,"['Bb6', 'Fm7', 'Bm', 'E7']",B,"['Bb6', 'Fm7', 'Bm']"
Jazz,"['Gmaj7', 'Dm', 'G/D', 'Emaj7', 'Baug', 'Bm', 'Gm6', 'Bm7', 'G/D', 'Emaj7']",G,"['Gmaj7', 'Dm', 'G/D']"
Jazz,"['Dm7b5', 'Em6', 'Ab6', 'Bb7', 'Ab/Bb', 'Bb', 'Ab/Bb', 'Bb6', 'Fm7']",D,"['Dm7b5', 'Em6', 'Ab6']"
Jazz,"['Bmaj7', 'Bm6', 'B', 'Bm', 'B', 'Fm6', 'Eb6', 'D6', 'Eb/F']",B,"['Bmaj7', 'Bm6', 'B']"
Jazz,"['Bbmaj7', 'B6', 'Bb6', 'Em7b5', 'Ebmaj7', 'C#7', 'F#maj7', 'Cm6', 'Bbm7', 'B7', 'Bbm7', 'Eb7', 'C']",B,"['Bbmaj7', 'B6', 'Bb6']"
Jazz,"['Bbm', 'Fm7', 'Gdim', 'Ab', 'Eb6', 'Fm', 'Gm', 'Cm7b5', 'Fm7', 'Bb6', 'Cm7', 'Am7b5', 'Abmaj7', 'Dm7b5', 'Eb7/G']",B,"['Bbm', 'Fm7', 'Gdim']"
Jazz,"['C#m7b5/B', 'B/A', 'Em', 'C#m', 'Dmaj7', 'Em', 'Dm', 'C#', 'Bmaj7', 'E7', 'Amaj7', 'G/D', 'D', 'Gmaj7']",C,"['C#m7b5/B', 'B/A', 'Em']"
Jazz,"['Eb', 'Bbmaj7', 'G', 'Am', 'F7', 'G', 'F#maj7', 'Abmaj7', 'Eb/G', 'G', 'C6', 'D7', 'Bb6']",E,"['Eb', 'Bbmaj7', 'G']"
Jazz,"['E', 'Eb', 'Dm7', 'Eb6', 'Gm7', 'Eb', 'F/G', 'Gm7', 'F7', 'Gm7']",E,"['E', 'Eb', 'Dm7']"
Jazz,"['Eb6', 'Ab7/C', 'D', 'Bbm7', 'Eb6', 'Gm7b5', 'C7', 'Abmaj7', 'F#aug', 'Fm', 'A7', 'Ebm6', 'Fm7b5/Eb', 'Ab6', 'Bb7', 'Cm7b5']",E,"['Eb6', 'Ab7/C', 'D']"
Jazz,"['Eb7/G', 'Gm', 'Fmaj7', 'Em7b5/D', 'Dm7', 'Daug', 'Dm7', 'Cm7', 'Gm6', 'Ab7/C', 'N']",E,"['Eb7/G', 'Gm', 'Fmaj7']"
Jazz,"['Cm', 'B7/D#', 'G6', 'Fmaj7', 'G/A', 'Eb', 'F/A', 'C7/E', 'Bb', 'G/A', 'A7', 'Bb/Ab', 'Dm']",C,"['Cm', 'B7/D#', 'G6']"
Jazz,"['C#m', 'F', 'Dm7', 'C', 'B6', 'Ebmaj7', 'Ab7', 'C', 'Eb', 'D', 'Gm7', 'F#maj7', 'Fm7', 'Ebm', 'C#m', 'N']",C,"['C#m', 'F', 'Dm7']"
