Genre,Chords,First Chord,Most Popular Chords
Metal,"['G', 'C', 'G', 'Cm7', 'G', 'Fmaj7', 'Gm', 'F', 'Cm', 'Eb', 'Bb6', 'F6', 'Ebmaj7']",G,"['G', 'C', 'Cm7']"
Metal,"['B/C#', 'F#', 'C#6', 'Eb', 'B', 'F#/C#', 'C#', 'Dmaj7', 'Eb', 'B', 'F#', 'Bbm']",B,"['B/C#', 'F#', 'C#6']"
Metal,"['Abaug', 'A7', 'B', 'F#', 'E', 'D', 'E', 'F#m', 'E7', 'D', 'E', 'F#7']",A,"['Abaug', 'A7', 'B']"
Metal,"['D', 'Fm', 'G', 'Bb7', 'A7', 'Dm7b5', 'Bbmaj7', 'C6', 'A']",D,"['D', 'Fm', 'G']"
Metal,"['A7', 'Fmaj7', 'E7/G#', 'Gm7', 'Dm', 'Gm', 'Dm', 'A', 'D']",A,"['A7', 'Fmaj7', 'E7/G#']"
Metal,"['Em7', 'D', 'E', 'G', 'D', 'G/D', 'C', 'Gmaj7', 'E', 'G', 'D', 'G/D', 'Cm', 'Gmaj7', 'E', 'G', 'D']",E,"['Em7', 'D', 'E']"
Metal,"['Bb', 'F#6', 'Ab7', 'Bb', 'C#6', 'F#6', 'Abm', 'Bb', 'C#', 'Ab7', 'C#6', 'Abm']",B,"['Bb', 'F#6', 'Ab7']"
Metal,"['Abm7b5/Gb', 'Em7', 'Gmaj7']",A,"['Abm7b5/Gb', 'Em7', 'Gmaj7']"
Metal,"['Em7', 'G', 'Em7', 'E', 'D/E', 'Em']",E,"['Em7', 'G', 'E']"
Metal,"['Dm', 'Ebm', 'D/A', 'Bm', 'Cm', 'Dm', 'Ebm', 'Dm', 'Bm']",D,"['Dm', 'Ebm', 'D/A']"
Metal,"['Gmaj7', 'Fmaj7', 'F#', 'Em6', 'Gmaj7', 'Fmaj7', 'Bb7/D', 'F#/G#', 'Bm', 'F#', 'B/F#', 'Emaj7', 'F#7', 'Amaj7']",G,"['Gmaj7', 'Fmaj7', 'F#']"
Metal,"['Bb7', 'Ab6', 'Eb6', 'Ab', 'Ebm7', 'Abm', 'Bmaj7']",B,"['Bb7', 'Ab6', 'Eb6']"
Metal,"['Am', 'Gmaj7', 'F/C', 'Bm7', 'A', 'F/C', 'G7/B', 'A/E', 'Dm', 'F/C', 'G', 'A', 'F/C', 'G7', 'Am6']",A,"['Am', 'Gmaj7', 'F/C']"
Metal,"['Fmaj7', 'Em7', 'Gm7', 'Dm', 'C7', 'Gm', 'Dm', 'A', 'D7']",F,"['Fmaj7', 'Em7', 'Gm7']"
Metal,"['Am6', 'Bm', 'E', 'D', 'B', 'Cmaj7', 'Em', 'Cmaj7', 'Bm', 'Em', 'C', 'D6', 'Em', 'Am6', 'Bm7']",A,"['Am6', 'Bm', 'E']"
Metal,"['Cmaj7', 'C#m7', 'Cmaj7', 'Gmaj7', 'Ab7', 'E', 'B', 'Gmaj7', 'A6', 'F6']",C,"['Cmaj7', 'C#m7', 'Gmaj7']"
Metal,"['C#6', 'Amaj7', 'C#6']",C,"['C#6', 'Amaj7']"
Metal,"['Emaj7', 'Ebmaj7', 'Ebmaj7', 'N']",E,"['Emaj7', 'Ebmaj7', 'N']"
Metal,"['C#maj7', 'Bb7/D', 'C#m', 'C#maj7', 'D', 'C#m']",C,"['C#maj7', 'Bb7/D', 'C#m']"
Metal,"['Ebm7', 'E', 'Gmaj7', 'E', 'Gmaj7', 'Bmaj7']",E,"['Ebm7', 'E', 'Gmaj7']"
Metal,"['Ab7', 'Gmaj7', 'Ab7', 'Gmaj7', 'F#aug', 'E', 'N']",A,"['Ab7', 'Gmaj7', 'F#aug']"
Metal,"['E', 'Fm', 'Dm', 'Em', 'F/C', 'D', 'Em', 'Cm6', 'D', 'Em', 'C', 'D', 'A7', 'B', 'C', 'D', 'E']",E,"['E', 'Fm', 'Dm']"
Metal,"['D', 'E', 'A']",D,"['D', 'E', 'A']"
Metal,"['Fmaj7', 'Em7', 'Fmaj7', 'E', 'D6', 'C', 'Eb', 'Bb', 'C', 'Eb', 'Bb', 'Ab', 'Bb', 'Ebm']",F,"['Fmaj7', 'Em7', 'E']"
Metal,"['Gmaj7', 'Em', 'Bm', 'D/A', 'Bm', 'Gmaj7', 'E', 'Bm', 'A6', 'Bm', 'G6', 'E', 'Bm7', 'B', 'G', 'E']",G,"['Gmaj7', 'Em', 'Bm']"
Metal,"['E', 'G6', 'E7']",E,"['E', 'G6', 'E7']"
Metal,"['C6', 'E7', 'Cmaj7', 'E', 'G6', 'Bm7']",C,"['C6', 'E7', 'Cmaj7']"
Metal,"['Bb7', 'F#m', 'C#maj7', 'Bbm7b5', 'Ab', 'Bbm7', 'Ab', 'Bbmaj7']",B,"['Bb7', 'F#m', 'C#maj7']"
Metal,"['Ebm6', 'C#', 'B', 'Ebm', 'Eb', 'F#', 'Ebm6', 'C#']",E,"['Ebm6', 'C#', 'B']"
Metal,"['Eb', 'Fm', 'Bb', 'Ebmaj7', 'F', 'Bb/C', 'Ebmaj7', 'F', 'Bb7', 'Ebmaj7', 'F/C', 'Bbmaj7', 'Ebmaj7', 'F', 'Bb7', 'Eb', 'Ab6', 'Bb', 'Eb', 'Ab6', 'Bb', 'Eb', 'Fm7']",E,"['Eb', 'Fm', 'Bb']"
Metal,"['E', 'Cmaj7', 'A', 'F', 'G/F', 'E', 'Caug', 'Amaj7', 'Bb6', 'E', 'Cmaj7', 'A', 'F', 'E', 'Cmaj7', 'A', 'F']",E,"['E', 'Cmaj7', 'A']"
Metal,"['Ab', 'C#', 'Ab', 'C#maj7', 'Abm7', 'C#maj7', 'Eb']",A,"['Ab', 'C#', 'C#maj7']"
Metal,"['C/D', 'D', 'C/D', 'D', 'C', 'E', 'G', 'C/D', 'E', 'G', 'C/D', 'D']",C,"['C/D', 'D', 'C']"
Metal,"['E', 'Em7b5', 'E']",E,"['E', 'Em7b5']"
Metal,"['Cmaj7', 'Em7', 'C7', 'D', 'Cm7b5', 'Em7b5/D', 'Cmaj7', 'Em7', 'C', 'D', 'E']",C,"['Cmaj7', 'Em7', 'C7']"
Metal,"['Emaj7', 'Eb7/G', 'E7', 'C#']",E,"['Emaj7', 'Eb7/G', 'E7']"
Metal,"['Eb', 'F#maj7', 'Bbmaj7', 'Fm7', 'Gm7', 'Fm']",E,"['Eb', 'F#maj7', 'Bbmaj7']"
Metal,"['B', 'C#', 'Ebm7', 'Eb', 'C#m7', 'B', 'C#', 'Ebm7', 'C#m7', 'B', 'C#m', 'Eb', 'B6', 'C#', 'Eb7', 'B', 'C#m', 'Ebm7', 'C#', 'Fm7b5/Eb']",B,"['B', 'C#', 'Ebm7']"
Metal,"['Bbmaj7', 'E', 'F#m7b5/E', 'D', 'C', 'G6', 'Bbmaj7', 'E', 'D', 'F/C', 'E7', 'Bbmaj7']",B,"['Bbmaj7', 'E', 'F#m7b5/E']"
Metal,"['Emaj7', 'Abm', 'Ab', 'E', 'Ab', 'E/G#', 'Em', 'Abm', 'Eb']",E,"['Emaj7', 'Abm', 'Ab']"
Metal,"['Am6', 'D', 'Am', 'F', 'Am7', 'G7', 'C#maj7', 'Am7', 'Dm6']",A,"['Am6', 'D', 'Am']"
Metal,"['Am7', 'D', 'Am7', 'B', 'Am7', 'Gmaj7', 'A']",A,"['Am7', 'D', 'B']"
Metal,"['A', 'C#7', 'A', 'Emaj7', 'A', 'B6', 'C#']",A,"['A', 'C#7', 'Emaj7']"
Metal,"['F#7', 'Ab6', 'F#7', 'E', 'F#7', 'Bm7b5/A', 'F#7', 'C#7', 'F#m']",F,"['F#7', 'Ab6', 'E']"
