Genre,Chords
Blues,"['Gm7', 'G']"
Blues,"['Dm7b5/C', 'Cmaj7', 'Gm7', 'F/C', 'Cmaj7']"
Blues,"['E7', 'A7', 'Em', 'Bm7b5/A']"
Blues,"['E7', 'Em7']"
Blues,"['Fm', 'Cm', 'Bb/F', 'Fm']"
Blues,"['Gm', 'G', 'Am7', 'G', 'Gm', 'G']"
Blues,"['F7', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F']"
Blues,"['Gm7b5/F', 'Bb', 'Fm7', 'Bb', 'Bbm7', 'Bb', 'Bbm7']"
Blues,"['Em7', 'E7']"
Blues,"['G7', 'Abmaj7', 'G', 'C#maj7', 'G', 'Gm6']"
Blues,"['Fm6', 'Bb/F', 'Fm', 'Fm7', 'Fm']"
Blues,"['A7', 'A/E', 'E', 'C#m7b5/B', 'A/E', 'Em', 'Em7b5']"
Blues,"['Bm', 'B', 'Bm', 'B', 'Bdim', 'Bm', 'B']"
Blues,"['Bb', 'Bbm7b5', 'Bb7', 'Bbdim', 'Bb', 'Bbm7', 'Bb']"
Blues,"['Bm', 'B', 'Bdim', 'Bm']"
Blues,"['Bm', 'Emaj7', 'Bm', 'E/F#']"
Blues,"['F#m7', 'Am', 'C6', 'A']"
Blues,"['D7/F#', 'A', 'Emaj7', 'A', 'E', 'F#m7b5', 'A7', 'D7/F#', 'A7/C#', 'F#m7b5/E', 'A', 'E7']"
Blues,"['B', 'F#7', 'E/B', 'G', 'Bm', 'F#7', 'Bm7b5', 'B7', 'Bm7b5', 'E']"
Blues,"['A', 'C#m7', 'Am', 'C#m7', 'A']"
Blues,['E']
Blues,"['F#m6', 'C#/B', 'B', 'C#', 'F#m', 'B7', 'F#m6', 'B6', 'F#m6']"
Blues,"['F6', 'C6', 'Bb7', 'F', 'F7', 'Fm6', 'Eb/Bb']"
Blues,"['A', 'Dm7', 'A', 'Am7']"
Blues,"['Emaj7', 'Bmaj7', 'Bb']"
Blues,"['Bb', 'Edim', 'Bb']"
Blues,"['Bb', 'Bdim', 'C#m7b5/B', 'Bmaj7', 'Bb', 'F7', 'Bdim', 'Bb', 'C#/B', 'Bmaj7']"
Blues,"['E', 'Bm', 'Em7', 'E', 'Em', 'Bbmaj7']"
Blues,"['Cmaj7', 'Bb']"
Blues,"['Dm', 'D7', 'Dm', 'G', 'F6', 'D', 'Cm', 'D7']"
Blues,"['Cm', 'Fm', 'Abm6', 'Gm7', 'Fm7', 'Gm7', 'Fm', 'Cm', 'Fm', 'Cm7']"
Blues,"['A', 'Cmaj7', 'D', 'G', 'A7', 'D6', 'Gmaj7', 'D']"
Blues,"['Cm7', 'F/C', 'Cm', 'C7', 'Cm7b5', 'F', 'Cm', 'Bb']"
Blues,"['F', 'G7', 'Bbmaj7', 'C7', 'F', 'Bbmaj7', 'Fmaj7', 'Gm7b5/F', 'Dm7', 'Fmaj7', 'Bb', 'F']"
Blues,"['D7', 'Ddim', 'Dm', 'Fm6', 'D', 'Dm7b5', 'G7', 'D', 'Dm7']"
Blues,"['Eb', 'Gm7', 'Cm7', 'Gm7', 'F', 'Gm7', 'Bb7/D', 'Eb', 'Gm7']"
Blues,"['Fm', 'Bb/F', 'Ab', 'Bb7', 'F', 'Bb', 'F', 'Bb', 'F']"
Blues,"['Fm', 'Cm', 'Bb/F', 'Fm']"
Blues,"['Ab/Gb', 'Gm7b5', 'Bb', 'Eb', 'Ebm', 'C7', 'Ebm', 'Eb', 'Ab7', 'Ebm', 'Ab7']"
Blues,"['Fm', 'Bb', 'F', 'C', 'F/A', 'Gm6', 'Cm7b5/Bb', 'F', 'Bbmaj7', 'Dm']"
Blues,"['C#', 'Eb7', 'C#', 'Eb7/G', 'Ab6', 'C#6', 'Ab6', 'Eb7', 'Ab', 'Abdim']"
Blues,"['Eb/Bb', 'Ab7', 'Eb', 'Bbm7', 'Ab7', 'Eb']"
Blues,"['B7', 'F#6', 'B', 'C#maj7', 'F#m7', 'C#', 'E/B', 'C#/D#', 'F#m7b5/E', 'F#']"
Blues,"['B6', 'E6', 'B6', 'F#7', 'Emaj7', 'F#maj7', 'B6']"
Blues,"['Ebm7', 'Abmaj7', 'Ebm7', 'Ab', 'Eb7']"
Blues,"['Eb6', 'Bb7/D', 'C#6', 'Ab', 'Ebm7', 'Bb7', 'Ebm', 'F#', 'Ebm6']"
Blues,"['Eb7', 'Ab7', 'Eb7', 'Bb7', 'Ab7', 'Ebm7', 'Ab7', 'Eb7', 'Bb7/D']"
Blues,"['Eb7', 'Ab6', 'Eb7', 'Bb7', 'Ab7', 'Eb7', 'Bb', 'Eb7', 'Eb6']"
Blues,"['Ebm7', 'Ab7', 'Eb7', 'Ab6', 'Ebm7', 'Ab7']"
Blues,"['Eb6', 'Ab', 'A', 'Bb', 'C#6', 'F#', 'A6', 'Ab7', 'Eb']"
Blues,"['E7', 'B', 'E/F#', 'E7', 'B', 'F#7', 'Bm6', 'E6', 'Bm6', 'F#m7']"
Blues,"['E', 'A6', 'E', 'B', 'C#m', 'Bm7', 'E', 'Em7b5', 'A6', 'E6', 'B7/D#', 'A/E']"
Blues,"['C/G', 'G7', 'C', 'C7', 'G6', 'Fmaj7', 'G', 'C/D']"
Blues,"['Ab7', 'Abm7', 'C#7', 'Abm7', 'Ebm7']"
Blues,"['A7', 'D/A', 'D7', 'A6', 'Bbdim', 'D7', 'A6', 'D6', 'A6']"
Blues,"['Gm6', 'Am7', 'C7', 'G7', 'Dm7', 'Gm6', 'C7', 'C/G', 'Dm7']"
Blues,"['Em7', 'A', 'Em7', 'Am7', 'E', 'D6', 'E', 'Em7', 'B7']"
Blues,"['F#7', 'B6', 'E7', 'Bm6', 'F#m7', 'A/E', 'B7/D#']"
Blues,"['C#7', 'B', 'C#', 'D', 'Ebmaj7', 'C#7', 'Abm7', 'C#7', 'Abm7', 'C#/D#', 'C#7']"
Blues,"['Gm7', 'F', 'C6', 'Gm7', 'Am7', 'Gm7']"
Blues,"['A6', 'Em7', 'D7', 'A7', 'D', 'A7', 'E7', 'Dm', 'A', 'Gm6', 'Am6']"
Blues,"['Bbm7', 'Fm7b5', 'Bbm', 'Fm7b5/Eb']"
Blues,"['F', 'Fm6', 'Bb6', 'Fm6', 'Cm', 'F/C', 'Bb6', 'F6']"
