Genre,Chords,First Chord,Most Popular Chords
Pop,"['C', 'G', 'Dm', 'Cmaj7', 'G', 'Dm', 'C', 'G', 'Bbmaj7', 'Am7', 'F', 'C']",C,"['C', 'G', 'Dm']"
Pop,"['Fm7', 'Fm6', 'F7', 'Cm7', 'Gm7b5/F']",F,"['Fm7', 'Fm6', 'F7']"
Pop,"['Gm7', 'Eb', 'D7', 'Gm', 'Cm7', 'Dm', 'Gm', 'Cm7', 'F', 'Bb', 'Ebmaj7', 'Cm', 'D7', 'Gm']",G,"['Gm7', 'Eb', 'D7']"
Pop,"['Bb6', 'C', 'G', 'F6', 'Bb6', 'C6', 'D', 'G']",B,"['Bb6', 'C', 'G']"
Pop,"['C', 'G', 'Am', 'F', 'D', 'Bm7', 'G', 'A', 'D', 'Bm', 'Bb6', 'D/A', 'Bm', 'G', 'A', 'F', 'C', 'G']",C,"['C', 'G', 'Am']"
Pop,"['F#', 'Abm7', 'F#', 'Abm7b5', 'F#', 'B', 'F#', 'Abm', 'F#', 'B', 'F#', 'Abm', 'F#', 'B', 'F#', 'Abm', 'Amaj7', 'E']",F,"['F#', 'Abm7', 'Abm7b5']"
Pop,"['G7/B', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G']",G,"['G7/B', 'C', 'G']"
Pop,"['Gm', 'Bm7', 'Gm', 'D7', 'G', 'Dmaj7', 'D']",G,"['Gm', 'Bm7', 'D7']"
Pop,"['Ab', 'F#6', 'C#', 'Eb', 'C#maj7', 'Eb', 'C#', 'Eb', 'Ab', 'Fm7', 'Eb']",A,"['Ab', 'F#6', 'C#']"
Pop,"['F#7', 'A6', 'B', 'A6', 'B6', 'F#', 'E7']",F,"['F#7', 'A6', 'B']"
Pop,"['A/B', 'F#m7', 'A', 'F#m7', 'D', 'E', 'A', 'D', 'C', 'A']",A,"['A/B', 'F#m7', 'A']"
Pop,"['F', 'G', 'Bbmaj7', 'Gm', 'Bb/C', 'Eb', 'F', 'Gm', 'C7', 'D/A']",F,"['F', 'G', 'Bbmaj7']"
Pop,"['Eb6', 'Bb', 'F/A', 'Ab', 'Eb', 'Cm7', 'Dm7', 'Gm7']",E,"['Eb6', 'Bb', 'F/A']"
Pop,"['F', 'Bbm', 'F', 'Bb6', 'Am', 'Gm7', 'Bb/C', 'C', 'Gm7', 'Dm7b5/C', 'C', 'Am7']",F,"['F', 'Bbm', 'Bb6']"
Pop,"['F7', 'Ab', 'Cm7', 'C#m', 'Ebm', 'Ab', 'C#', 'B6', 'Ab']",F,"['F7', 'Ab', 'Cm7']"
Pop,['Abmaj7'],A,Abmaj7
Pop,"['F#', 'C#7', 'Ebm7', 'B', 'Ebm', 'B', 'C#/G#', 'Ebm', 'B', 'C#/G#', 'Ebm', 'B', 'C#', 'Ebm7']",F,"['F#', 'C#7', 'Ebm7']"
