Genre,Chords,First Chord,Most Popular Chords
Reggae,"['C#m', 'F#m', 'D', 'A', 'C#m', 'F#m', 'D6', 'A', 'F#m', 'D/A', 'C#m', 'Bm7']",C,"['C#m', 'F#m', 'D']"
Reggae,"['F#maj7', 'C#', 'Ab', 'Bbm7', 'F#', 'C#', 'Fm', 'F#maj7']",F,"['F#maj7', 'C#', 'Ab']"
Reggae,"['D', 'Bm', 'Em', 'Bm', 'Em', 'Bm', 'Gmaj7', 'F#m', 'Em']",D,"['D', 'Bm', 'Em']"
Reggae,"['A', 'D', 'A', 'E', 'A6', 'D', 'A', 'E']",A,"['A', 'D', 'E']"
Reggae,"['A', 'A6', 'Dmaj7', 'C#m', 'E/B', 'F#m', 'Dmaj7', 'C#m', 'Bm7', 'F#m', 'A', 'F#']",A,"['A', 'A6', 'Dmaj7']"
Reggae,"['Cm', 'Cm7']",C,Cm
Reggae,"['E', 'A/C#', 'D', 'E7/G#', 'A/C#', 'D', 'E7/G#', 'A/C#', 'D', 'E', 'A', 'D', 'Amaj7']",E,"['E', 'A/C#', 'D']"
Reggae,"['F6', 'Eb/Db', 'Bb', 'Eb', 'Bb', 'Cm', 'Bb', 'Gm', 'Eb', 'Gm7']",F,"['F6', 'Eb/Db', 'Bb']"
Reggae,"['Ebmaj7', 'Dm7', 'Gm', 'Eb', 'Dm7', 'Gm', 'Eb', 'Dm7', 'Gm', 'Dm7', 'Gm', 'Cm7', 'Gm7']",E,"['Ebmaj7', 'Dm7', 'Gm']"
Reggae,"['C#maj7', 'Abmaj7', 'C#maj7', 'Abmaj7', 'C#', 'Abmaj7', 'C#maj7', 'Abmaj7', 'C#maj7', 'Abmaj7', 'C#maj7']",C,"['C#maj7', 'Abmaj7', 'C#']"
Reggae,"['Em', 'C', 'G', 'Am', 'C/G', 'Em7', 'C', 'Bm', 'Am', 'G', 'Em', 'C', 'D', 'D6', 'G', 'C', 'G']",E,"['Em', 'C', 'G']"
Reggae,"['D', 'Em7', 'Bm', 'Am', 'D7', 'G6', 'Bm', 'Am7', 'D7', 'C', 'D']",D,"['D', 'Em7', 'Bm']"
Reggae,['Am7'],A,Am7
Reggae,"['F#m', 'Bm', 'G6', 'F#m7', 'E7', 'G6', 'F#m7', 'E7', 'G', 'F#m7', 'Bm7', 'E7']",F,"['F#m', 'Bm', 'G6']"
Reggae,"['G', 'Am', 'Dm', 'G', 'Am', 'Dm7', 'Am', 'Dm7', 'Am', 'Dm7', 'Am', 'G/D', 'Am']",G,"['G', 'Am', 'Dm']"
Reggae,"['Bb', 'Eb', 'Bb', 'Eb', 'Bb', 'Gm', 'Bb', 'Gm']",B,"['Bb', 'Eb', 'Gm']"
Reggae,"['D6', 'A', 'Bm', 'D', 'A6', 'Bm', 'E', 'Bm7', 'E6', 'Bm']",D,"['D6', 'A', 'Bm']"
Reggae,"['F#m', 'Bm', 'F#m7', 'Bm7', 'F#m7', 'Bm7', 'F#m', 'Bm7', 'F#m', 'Bm7', 'F#m', 'Bm7', 'F#m', 'Bm', 'F#m', 'Bm7']",F,"['F#m', 'Bm', 'F#m7']"
Reggae,"['Dm', 'G/D', 'Am', 'Dm7', 'G/D', 'Am', 'Dm', 'G/D', 'Am', 'Dm7', 'G', 'Am', 'F', 'Am', 'D/A']",D,"['Dm', 'G/D', 'Am']"
Reggae,"['Ab', 'Bbm', 'Abmaj7', 'Bbm', 'Ab', 'Bbm7', 'Ab7/C', 'Bbm']",A,"['Ab', 'Bbm', 'Abmaj7']"
Reggae,"['G6', 'D6', 'G6', 'D', 'Em7', 'C', 'G', 'D', 'G6', 'D', 'Em']",G,"['G6', 'D6', 'D']"
