Genre,Chords,First Chord,Most Popular Chords
Rock,"['Dmaj7', 'Cm', 'C#/D#', 'Cm', 'Ebm7b5', 'D', 'Dm']",D,"['Dmaj7', 'Cm', 'C#/D#']"
Rock,"['A6', 'D/A', 'Am', 'D/A', 'Am7b5', 'D/A', 'A']",A,"['A6', 'D/A', 'Am']"
Rock,"['Dm7', 'C7', 'D6']",D,"['Dm7', 'C7', 'D6']"
Rock,"['Abaug', 'C', 'Am6', 'Gm7', 'Fmaj7']",A,"['Abaug', 'C', 'Am6']"
Rock,"['Am7', 'Am7b5', 'C#', 'D7', 'C6']",A,"['Am7', 'Am7b5', 'C#']"
Rock,"['Dm7', 'C', 'D', 'C', 'D7']",D,"['Dm7', 'C', 'D']"
Rock,"['C#6', 'Ab', 'Ebm7', 'C#maj7', 'Ab7', 'F#6', 'Ab/Eb', 'F#', 'Abm', 'Ebm7', 'Abmaj7']",C,"['C#6', 'Ab', 'Ebm7']"
Rock,"['F/C', 'Dm7', 'C', 'Em', 'Dm7', 'C', 'A/E', 'Dm', 'G', 'Fm', 'Am']",F,"['F/C', 'Dm7', 'C']"
Rock,"['Am7', 'G', 'A', 'B/A', 'Aaug', 'A7']",A,"['Am7', 'G', 'A']"
Rock,"['Gmaj7', 'Fm', 'Gmaj7', 'Fm', 'E/B', 'Gmaj7', 'Fm', 'Gmaj7', 'Fm', 'Bm', 'Gm', 'Cdim']",G,"['Gmaj7', 'Fm', 'E/B']"
Rock,"['D7', 'A7', 'G', 'Dmaj7', 'G', 'Am7', 'Gm', 'Bm7', 'A7/C#', 'Dmaj7', 'G6', 'Dmaj7', 'G6', 'D/A']",D,"['D7', 'A7', 'G']"
Rock,"['Ab', 'Abmaj7', 'Ab7/C', 'C#6', 'Ab', 'Fm7']",A,"['Ab', 'Abmaj7', 'Ab7/C']"
Rock,"['Abm7b5/Gb', 'A', 'C#maj7', 'Abm7b5/Gb', 'Amaj7', 'Abm7b5/Gb', 'A', 'C#m7']",A,"['Abm7b5/Gb', 'A', 'C#maj7']"
Rock,"['Eb', 'Bb', 'Eb', 'Gm7', 'Eb', 'Gm7', 'Eb', 'Bb', 'Eb', 'Bb', 'Eb', 'Gm7']",E,"['Eb', 'Bb', 'Gm7']"
Rock,"['B6', 'Em', 'B', 'Em7', 'Gmaj7', 'F#maj7']",B,"['B6', 'Em', 'B']"
Rock,"['G', 'Dm', 'Gm']",G,"['G', 'Dm', 'Gm']"
Rock,"['C6', 'E', 'C/G', 'A7', 'G/D', 'Dm', 'A', 'D', 'Gmaj7', 'Cmaj7']",C,"['C6', 'E', 'C/G']"
Rock,"['D', 'A/C#', 'G/B', 'A', 'D', 'A/C#', 'Bm7', 'A', 'G']",D,"['D', 'A/C#', 'G/B']"
Rock,"['Em', 'F#m7', 'C', 'D7', 'Cmaj7', 'Gmaj7', 'A7', 'Em7', 'F#m7', 'G6']",E,"['Em', 'F#m7', 'C']"
Rock,"['E/B', 'A', 'E', 'B', 'A', 'E']",E,"['E/B', 'A', 'E']"
Rock,"['Ab/Eb', 'Ebm', 'Ab', 'Eb', 'Ab/Eb', 'Bb7', 'Eb', 'Ab']",A,"['Ab/Eb', 'Ebm', 'Ab']"
Rock,"['C#', 'F#6', 'C#', 'Ab', 'C#', 'F#', 'C#maj7', 'F#6', 'C#', 'F#', 'C#maj7']",C,"['C#', 'F#6', 'Ab']"
Rock,"['Ebm7', 'Eb', 'Ab', 'Eb', 'Bb', 'Ab', 'Ebm', 'Eb', 'Ab', 'Eb', 'C#']",E,"['Ebm7', 'Eb', 'Ab']"
Rock,"['Abmaj7', 'Eb', 'Gm', 'Cm', 'Fm', 'Bb7', 'Eb', 'Bb/D', 'Cm', 'Abm', 'Eb', 'Ebdim', 'Fm7b5/Eb', 'Bb']",A,"['Abmaj7', 'Eb', 'Gm']"
Rock,"['D', 'G', 'C', 'G', 'D6', 'G', 'C', 'G/D', 'D', 'Bb', 'Cmaj7', 'D', 'G6']",D,"['D', 'G', 'C']"
Rock,"['C6', 'E7', 'Am7', 'F', 'Bm7', 'Amaj7', 'F7', 'Emaj7', 'Amaj7']",C,"['C6', 'E7', 'Am7']"
Rock,"['F', 'Gm', 'Bb', 'Gm', 'F', 'Gm']",F,"['F', 'Gm', 'Bb']"
Rock,"['F#6', 'Ab', 'C#6', 'Ab', 'C#', 'Bb6', 'Ebm', 'C#', 'Bbm', 'B6', 'Bb']",F,"['F#6', 'Ab', 'C#6']"
Rock,"['Bb7', 'C#', 'Ab', 'Eb', 'Bbm', 'C#', 'Ab', 'Eb', 'Bb', 'Bb7']",B,"['Bb7', 'C#', 'Ab']"
Rock,"['C', 'F', 'G', 'D', 'C', 'F', 'C']",C,"['C', 'F', 'G']"
Rock,"['Ebm', 'C#m', 'Eb7', 'C#', 'Caug', 'Eb7', 'C#7', 'Ab7', 'Eb7']",E,"['Ebm', 'C#m', 'Eb7']"
Rock,"['Gmaj7', 'G', 'C', 'G7/B', 'D7/F#', 'G', 'D', 'G']",G,"['Gmaj7', 'G', 'C']"
Rock,"['Gmaj7', 'D', 'Cmaj7', 'Am7', 'G', 'F6', 'C', 'G7/B', 'Am7', 'G7', 'F', 'Am7', 'Dm']",G,"['Gmaj7', 'D', 'Cmaj7']"
Rock,"['A/C#', 'F#m6', 'C#', 'C#m7', 'B', 'A', 'E', 'C#']",A,"['A/C#', 'F#m6', 'C#']"
Rock,"['C', 'E', 'F', 'Fm', 'C/G', 'F', 'Fm', 'C/E', 'F', 'G', 'Abdim', 'Am']",C,"['C', 'E', 'F']"
Rock,"['A', 'E', 'A', 'E', 'Bm7', 'E7', 'Bm7', 'B6', 'A', 'Bm7', 'A']",A,"['A', 'E', 'Bm7']"
Rock,"['Fmaj7', 'Dm', 'G6', 'Gm7', 'Caug', 'F', 'Dm', 'G7', 'Bb6', 'C', 'Dm7', 'G7', 'C', 'F', 'Bb', 'C', 'Bb6', 'A7', 'Dm']",F,"['Fmaj7', 'Dm', 'G6']"
Rock,"['C', 'Fmaj7', 'C', 'Bb', 'C', 'G', 'C', 'G7', 'C']",C,"['C', 'Fmaj7', 'Bb']"
Rock,"['B', 'E', 'F#', 'C#7', 'B', 'F#m7', 'C#', 'Abm', 'F#', 'C#7', 'Bmaj7', 'C#6']",B,"['B', 'E', 'F#']"
Rock,"['D', 'Dm7', 'Bm7b5/A', 'A', 'A7', 'D']",D,"['D', 'Dm7', 'Bm7b5/A']"
Rock,"['C', 'C#', 'Dm7', 'Eb', 'Em7b5/D', 'Dm7b5/C', 'C#7', 'D7', 'Eb7', 'Dm7', 'Am7']",C,"['C', 'C#', 'Dm7']"
Rock,"['C', 'Bbm6', 'Am7', 'Bbm6', 'Am7', 'C#maj7', 'C']",C,"['C', 'Bbm6', 'Am7']"
Rock,"['F', 'G7', 'Am7', 'F', 'Gmaj7', 'Am7', 'F', 'G', 'Am7', 'Fmaj7', 'Gmaj7', 'Am']",F,"['F', 'G7', 'Am7']"
Rock,"['C6', 'D', 'C6', 'D7', 'C6', 'D7', 'C6', 'D', 'B7/D#', 'Cmaj7', 'A', 'C/G', 'B7']",C,"['C6', 'D', 'D7']"
Rock,"['C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']",C,"['C', 'F']"
